kind,lookup_priority,lookup_mode,old_file,old_slug,old_wp_id,old_wp_link,old_local_exists,old_local_status,old_local_wp_status,old_local_wp_post_id,new_file,new_slug,new_wp_post_id,new_wp_link,new_local_exists,new_local_status,new_local_wp_status,match_score,safe_next_action
missing-wp-post-id,P1,lookup-by-link-then-id,post-524-ai%e8%ae%be%e8%ae%a1%e8%b5%84%e6%ba%90%e5%ba%93-ai%e8%89%b2%e5%bd%a9%e5%bf%83%e7%90%86%e5%ad%a6%e4%b8%8e%e5%93%81%e7%89%8c%e7%ad%96%e7%95%a5%ef%bc%9a%e5%88%a9%e7%94%a8ai%e8%ae%be%e8%ae%a1%e4%bb%a3.md,ai%e8%ae%be%e8%ae%a1%e8%b5%84%e6%ba%90%e5%ba%93-ai%e8%89%b2%e5%bd%a9%e5%bf%83%e7%90%86%e5%ad%a6%e4%b8%8e%e5%93%81%e7%89%8c%e7%ad%96%e7%95%a5%ef%bc%9a%e5%88%a9%e7%94%a8ai%e8%ae%be%e8%ae%a1%e4%bb%a3,524,https://blogs.lovart.ai/ai%e8%ae%be%e8%ae%a1%e8%b5%84%e6%ba%90%e5%ba%93-ai%e8%89%b2%e5%bd%a9%e5%bf%83%e7%90%86%e5%ad%a6%e4%b8%8e%e5%93%81%e7%89%8c%e7%ad%96%e7%95%a5%ef%bc%9a%e5%88%a9%e7%94%a8ai%e8%ae%be%e8%ae%a1%e4%bb%a3.html,yes,,publish,,,,,,,,,0.00,lookup WordPress by wp_link or slug and fill wp_post_id only after confirmation
missing-wp-post-id,P1,lookup-by-link-then-id,post-526-a-mastering-ai-design-prompts_-negative-space-object-isolation-editable-menus-line-weight-control.md,a-mastering-ai-design-prompts_-negative-space-object-isolation-editable-menus-line-weight-control,526,https://blogs.lovart.ai/a-mastering-ai-design-prompts_-negative-space-object-isolation-editable-menus-line-weight-control.html,yes,,publish,,,,,,,,,0.13,lookup WordPress by wp_link or slug and fill wp_post_id only after confirmation
missing-wp-post-id,P1,lookup-by-link-then-id,post-528-from-isolating-transparent-stickers-to-editable-menus-and-precise-line-weight-control.md,from-isolating-transparent-stickers-to-editable-menus-and-precise-line-weight-control,528,https://blogs.lovart.ai/from-isolating-transparent-stickers-to-editable-menus-and-precise-line-weight-control.html,yes,,publish,,,,,,,,,0.08,lookup WordPress by wp_link or slug and fill wp_post_id only after confirmation
missing-wp-post-id,P1,lookup-by-link-then-id,post-530-how-lovart-automatically-crops-images-for-maximum-impact.md,how-lovart-automatically-crops-images-for-maximum-impact,530,https://blogs.lovart.ai/how-lovart-automatically-crops-images-for-maximum-impact.html,yes,,publish,,,,,,,,,0.13,lookup WordPress by wp_link or slug and fill wp_post_id only after confirmation
missing-wp-post-id,P1,lookup-by-link-then-id,post-532-deleting-too-soon-why-your-bad-generation-is-actually-just-one-click-away-from-perfect.md,deleting-too-soon-why-your-bad-generation-is-actually-just-one-click-away-from-perfect,532,https://blogs.lovart.ai/deleting-too-soon-why-your-bad-generation-is-actually-just-one-click-away-from-perfect.html,yes,,publish,,,,,,,,,0.00,lookup WordPress by wp_link or slug and fill wp_post_id only after confirmation
missing-wp-post-id,P1,lookup-by-link-then-id,post-534-the-first-co-create-ai-design-agent-driven-canvas-for-digital-marketing-manager.md,the-first-co-create-ai-design-agent-driven-canvas-for-digital-marketing-manager,534,https://blogs.lovart.ai/the-first-co-create-ai-design-agent-driven-canvas-for-digital-marketing-manager.html,yes,,publish,,,,,,,,,0.08,lookup WordPress by wp_link or slug and fill wp_post_id only after confirmation
missing-wp-post-id,P1,lookup-by-link-then-id,post-536-the-first-co-create-ai-design-agent-driven-canvas-for-registered-investment-advisor.md,the-first-co-create-ai-design-agent-driven-canvas-for-registered-investment-advisor,536,https://blogs.lovart.ai/the-first-co-create-ai-design-agent-driven-canvas-for-registered-investment-advisor.html,yes,,publish,,,,,,,,,0.08,lookup WordPress by wp_link or slug and fill wp_post_id only after confirmation
missing-wp-post-id,P1,lookup-by-link-then-id,post-538-the-first-co-create-ai-design-agent-driven-canvas-for-content-creator.md,the-first-co-create-ai-design-agent-driven-canvas-for-content-creator,538,https://blogs.lovart.ai/the-first-co-create-ai-design-agent-driven-canvas-for-content-creator.html,yes,,publish,,,,,,,,,0.09,lookup WordPress by wp_link or slug and fill wp_post_id only after confirmation
missing-wp-post-id,P1,lookup-by-link-then-id,post-540-the-first-co-create-ai-design-agent-driven-canvas-for-content-creator-2.md,the-first-co-create-ai-design-agent-driven-canvas-for-content-creator-2,540,https://blogs.lovart.ai/the-first-co-create-ai-design-agent-driven-canvas-for-content-creator-2.html,yes,,publish,,,,,,,,,0.08,lookup WordPress by wp_link or slug and fill wp_post_id only after confirmation
missing-wp-post-id,P1,lookup-by-link-then-id,post-542-the-first-co-create-ai-design-agent-driven-canvas-for-coach.md,the-first-co-create-ai-design-agent-driven-canvas-for-coach,542,https://blogs.lovart.ai/the-first-co-create-ai-design-agent-driven-canvas-for-coach.html,yes,,publish,,,,,,,,,0.10,lookup WordPress by wp_link or slug and fill wp_post_id only after confirmation
missing-wp-post-id,P1,lookup-by-link-then-id,post-56-the-death-of-the-render-farm-how-agentic-design-is-rewiring-the-go-to-market-stack-for-intelligent-hardware.md,the-death-of-the-render-farm-how-agentic-design-is-rewiring-the-go-to-market-stack-for-intelligent-hardware,56,https://blogs.lovart.ai/the-death-of-the-render-farm-how-agentic-design-is-rewiring-the-go-to-market-stack-for-intelligent-hardware.html,yes,,publish,,,,,,,,,0.18,lookup WordPress by wp_link or slug and fill wp_post_id only after confirmation
missing-wp-post-id,P1,lookup-by-link-then-id,post-59-the-algorithmic-atelier-rewiring-the-fashion-supply-chain-with-agentic-design.md,the-algorithmic-atelier-rewiring-the-fashion-supply-chain-with-agentic-design,59,https://blogs.lovart.ai/the-algorithmic-atelier-rewiring-the-fashion-supply-chain-with-agentic-design.html,yes,,publish,,,,,,,,,0.10,lookup WordPress by wp_link or slug and fill wp_post_id only after confirmation
missing-wp-post-id,P1,lookup-by-link-then-id,post-61-the-culinary-algorithm-how-independent-restaurateurs-are-using-agentic-design-to-outperform-franchises.md,the-culinary-algorithm-how-independent-restaurateurs-are-using-agentic-design-to-outperform-franchises,61,https://blogs.lovart.ai/the-culinary-algorithm-how-independent-restaurateurs-are-using-agentic-design-to-outperform-franchises.html,yes,,publish,,,,,,,,,0.25,lookup WordPress by wp_link or slug and fill wp_post_id only after confirmation
