filename,image_num,image_type,line_number,prompt,status,produced_file
01-career-marketing-director-playbook.md,IMAGE_2,Conceptual Diagram,35,"A hand-drawn conceptual diagram illustrating the main idea of The Marketing Director's AI Design Playbook: Scali — clean sketch style, creative brainstorming aesthetic",⬜ 待生产,
01-career-marketing-director-playbook.md,IMAGE_4,Brand CTA,141,"Professional brand visual for Lovart AI Design Agent — modern, aspirational, showing the value promised in The Marketing Director's AI Design Playbook: Scali",⬜ 待生产,
01-career-social-media-manager.md,IMAGE_1,Persona Scenario,25,"A beautifully arranged brand identity flat-lay showing color swatches, font specimens, and design elements matching the niche in The Social Media Manager's Weekly Design System: From Chaos  — warm, editorial style",⬜ 待生产,
01-career-social-media-manager.md,IMAGE_2,Conceptual Diagram,33,"A hand-drawn brand wheel or identity framework sketch — color circles, font pairings, and application examples — creative branding consultant style",⬜ 待生产,
01-career-social-media-manager.md,IMAGE_4,Brand CTA,179,"Brand visual showing a complete brand identity package — logo, business card, social post, and packaging all in consistent style — professional, cohesive",⬜ 待生产,
01-career-youtube-thumbnail-design.md,IMAGE_1,Persona Scenario,15,"A professional yet approachable person sitting at their desk, looking slightly frustrated at their computer screen while trying to create a design — warm natural lighting, candid documentary style",⬜ 待生产,
01-career-youtube-thumbnail-design.md,IMAGE_2,Conceptual Diagram,25,"A hand-drawn sketch diagram showing the step-by-step workflow for creating designs with AI — clean line art on grid paper, arrows connecting each step, minimalist style",⬜ 待生产,
01-career-youtube-thumbnail-design.md,IMAGE_4,Brand CTA,147,"Professional brand visual for Lovart AI Design Agent — showing the final beautiful design result described in YouTube Thumbnail Design: The Science of Click-Wor — modern, aspirational, cinematic lighting",⬜ 待生产,
01-cluster-adobe-firefly-vs.md,IMAGE_1,Persona Scenario,28,"A split-screen scene showing two workspaces side by side: one cluttered with multiple tools and tabs (traditional), the other clean with a single Lovart ChatCanvas — contrasting lighting, editorial style",⬜ 待生产,
01-cluster-adobe-firefly-vs.md,IMAGE_2,Conceptual Diagram,38,"A hand-drawn comparison matrix sketch comparing features across tools mentioned in Adobe Firefly vs AI Design Agents: Which Platform Delivers B — markers and sticky notes, creative brainstorming aesthetic",⬜ 待生产,
01-cluster-adobe-firefly-vs.md,IMAGE_4,Brand CTA,148,"Professional brand visual showing the Lovart logo and key differentiators highlighted in Adobe Firefly vs AI Design Agents: Which Platform  — clean, bold typography, modern tech aesthetic",⬜ 待生产,
01-cluster-brand-kit-from-scratch.md,IMAGE_1,Persona Scenario,16,"A professional yet approachable person sitting at their desk, looking slightly frustrated at their computer screen while trying to create a design — warm natural lighting, candid documentary style",⬜ 待生产,
01-cluster-brand-kit-from-scratch.md,IMAGE_2,Conceptual Diagram,28,"A hand-drawn sketch diagram showing the step-by-step workflow for creating designs with AI — clean line art on grid paper, arrows connecting each step, minimalist style",⬜ 待生产,
01-cluster-brand-kit-from-scratch.md,IMAGE_4,Brand CTA,150,"Professional brand visual for Lovart AI Design Agent — showing the final beautiful design result described in Building a Complete Brand Kit from Scratch with Lo — modern, aspirational, cinematic lighting",⬜ 待生产,
01-cluster-image-to-video.md,IMAGE_1,Persona Scenario,16,"A curated flat-lay photography scene showing design tools and outputs mentioned in Image to Video Tutorial: Transform Static Photos i — organized chaos, editorial product photography style",⬜ 待生产,
01-cluster-image-to-video.md,IMAGE_2,Conceptual Diagram,22,"A hand-drawn ranking or scoring matrix showing the criteria used to evaluate options in Image to Video Tutorial: Transform Static Photos i — colorful markers, creative layout",⬜ 待生产,
01-cluster-image-to-video.md,IMAGE_4,Brand CTA,148,"Brand visual showing 'Best of' collection — multiple beautiful design outputs arranged in a grid, modern gallery aesthetic",⬜ 待生产,
01-cluster-pinterest-pin-design.md,IMAGE_1,Persona Scenario,17,"A professional yet approachable person sitting at their desk, looking slightly frustrated at their computer screen while trying to create Create Scroll-Stopping Pins with AI — warm natural lighting, candid documentary style",⬜ 待生产,
01-cluster-pinterest-pin-design.md,IMAGE_2,Conceptual Diagram,29,"A hand-drawn sketch diagram showing the step-by-step workflow for Create Scroll-Stopping Pins with AI with AI — clean line art on grid paper, arrows connecting each step, minimalist style",⬜ 待生产,
01-cluster-pinterest-pin-design.md,IMAGE_4,Brand CTA,225,"Professional brand visual for Lovart AI Design Agent — showing the final beautiful design result described in Pinterest Pin Design: How to Create Scroll-Stoppin — modern, aspirational, cinematic lighting",⬜ 待生产,
01-cluster-product-detail-page.md,IMAGE_1,Persona Scenario,13,"A split-screen scene showing two workspaces side by side: one cluttered with multiple tools and tabs (traditional), the other clean with a single Lovart ChatCanvas — contrasting lighting, editorial style",⬜ 待生产,
01-cluster-product-detail-page.md,IMAGE_2,Conceptual Diagram,25,"A hand-drawn comparison matrix sketch comparing features across tools mentioned in Product Detail Page Design with AI: What Converts in 2026 — markers and sticky notes, creative brainstorming aesthetic",⬜ 待生产,
01-cluster-product-detail-page.md,IMAGE_4,Brand CTA,196,"Professional brand visual showing the Lovart logo and key differentiators highlighted in Product Detail Page Design with AI: What Converts  — clean, bold typography, modern tech aesthetic",⬜ 待生产,
01-cluster-twitter-image-design.md,IMAGE_1,Persona Scenario,21,"A professional yet approachable person sitting at their desk, looking slightly frustrated at their computer screen while trying to create a design — warm natural lighting, candid documentary style",⬜ 待生产,
01-cluster-twitter-image-design.md,IMAGE_2,Conceptual Diagram,31,"A hand-drawn sketch diagram showing the step-by-step workflow for creating designs with AI — clean line art on grid paper, arrows connecting each step, minimalist style",⬜ 待生产,
01-cluster-twitter-image-design.md,IMAGE_4,Brand CTA,159,"Professional brand visual for Lovart AI Design Agent — showing the final beautiful design result described in The Complete Guide to Twitter Image Design: Sizes, — modern, aspirational, cinematic lighting",⬜ 待生产,
01-community-design-challenge-2.md,IMAGE_1,Persona Scenario,15,"A professional yet approachable person sitting at their desk, looking slightly frustrated at their computer screen while trying to create a design — warm natural lighting, candid documentary style",⬜ 待生产,
01-community-design-challenge-2.md,IMAGE_2,Conceptual Diagram,23,"A hand-drawn sketch diagram showing the step-by-step workflow for creating designs with AI — clean line art on grid paper, arrows connecting each step, minimalist style",⬜ 待生产,
01-community-design-challenge-2.md,IMAGE_4,Brand CTA,119,"Professional brand visual for Lovart AI Design Agent — showing the final beautiful design result described in Lovart Design Challenge #2: Announcing the Prompt, — modern, aspirational, cinematic lighting",⬜ 待生产,
01-community-design-challenge-results.md,IMAGE_1,Persona Scenario,15,"A curated flat-lay photography scene showing design tools and outputs mentioned in Lovart Design Challenge #1: Results, Winners, and  — organized chaos, editorial product photography style",⬜ 待生产,
01-community-design-challenge-results.md,IMAGE_2,Conceptual Diagram,25,"A hand-drawn ranking or scoring matrix showing the criteria used to evaluate options in Lovart Design Challenge #1: Results, Winners, and  — colorful markers, creative layout",⬜ 待生产,
01-community-design-challenge-results.md,IMAGE_4,Brand CTA,106,"Brand visual showing 'Best of' collection — multiple beautiful design outputs arranged in a grid, modern gallery aesthetic",⬜ 待生产,
01-content-refresh-pillar-1-2.md,IMAGE_1,Persona Scenario,15,"A professional yet approachable person sitting at their desk, looking slightly frustrated at their computer screen while trying to create a design — warm natural lighting, candid documentary style",⬜ 待生产,
01-content-refresh-pillar-1-2.md,IMAGE_2,Conceptual Diagram,23,"A hand-drawn sketch diagram showing the step-by-step workflow for creating designs with AI — clean line art on grid paper, arrows connecting each step, minimalist style",⬜ 待生产,
01-content-refresh-pillar-1-2.md,IMAGE_4,Brand CTA,104,"Professional brand visual for Lovart AI Design Agent — showing the final beautiful design result described in Content Refresh: Our AI Video and Brand Pillar Pag — modern, aspirational, cinematic lighting",⬜ 待生产,
01-enterprise-lovart-vs-agency-cost.md,IMAGE_1,Persona Scenario,20,"A split-screen scene showing two workspaces side by side: one cluttered with multiple tools and tabs (traditional), the other clean with a single Lovart ChatCanvas — contrasting lighting, editorial style",⬜ 待生产,
01-enterprise-lovart-vs-agency-cost.md,IMAGE_2,Conceptual Diagram,32,"A hand-drawn comparison matrix sketch comparing features across tools mentioned in Lovart vs Design Agency: Enterprise Cost Comparison 2026 — markers and sticky notes, creative brainstorming aesthetic",⬜ 待生产,
01-enterprise-lovart-vs-agency-cost.md,IMAGE_4,Brand CTA,190,"Professional brand visual showing the Lovart logo and key differentiators highlighted in Lovart vs Design Agency: Enterprise Cost Compariso — clean, bold typography, modern tech aesthetic",⬜ 待生产,
01-enterprise-scaling-agency-ai.md,IMAGE_1,Persona Scenario,15,"A professional yet approachable person sitting at their desk, looking slightly frustrated at their computer screen while trying to create a design — warm natural lighting, candid documentary style",⬜ 待生产,
01-enterprise-scaling-agency-ai.md,IMAGE_2,Conceptual Diagram,25,"A hand-drawn sketch diagram showing the step-by-step workflow for creating designs with AI — clean line art on grid paper, arrows connecting each step, minimalist style",⬜ 待生产,
01-enterprise-scaling-agency-ai.md,IMAGE_4,Brand CTA,225,"Professional brand visual for Lovart AI Design Agent — showing the final beautiful design result described in Scaling Your Design Agency with AI: From 5 to 50 C — modern, aspirational, cinematic lighting",⬜ 待生产,
01-ethics-responsible-ai-design.md,IMAGE_1,Persona Scenario,17,"A relatable professional scene depicting the core problem discussed in Responsible AI Design: Lovart's Approach to Ethical AI and W — authentic, natural lighting, documentary style",⬜ 待生产,
01-ethics-responsible-ai-design.md,IMAGE_2,Conceptual Diagram,25,"A hand-drawn conceptual diagram illustrating the main idea of Responsible AI Design: Lovart's Approach to Ethica — clean sketch style, creative brainstorming aesthetic",⬜ 待生产,
01-ethics-responsible-ai-design.md,IMAGE_4,Brand CTA,309,"Professional brand visual for Lovart AI Design Agent — modern, aspirational, showing the value promised in Responsible AI Design: Lovart's Approach to Ethica",⬜ 待生产,
01-ethics-trademark-ai-logo.md,IMAGE_1,Persona Scenario,18,"A forward-looking scene depicting the future described in Can You Trademark an AI-Generated Logo? The Legal Landscape  — conceptual, artistic, cinematic — a person confidently creating with AI in an innovative workspace",⬜ 待生产,
01-ethics-trademark-ai-logo.md,IMAGE_2,Conceptual Diagram,28,"A hand-drawn trend map or timeline showing the evolution described in Can You Trademark an AI-Generated Logo? The Legal  — arrows, nodes, annotated predictions — creative consulting aesthetic",⬜ 待生产,
01-ethics-trademark-ai-logo.md,IMAGE_4,Brand CTA,127,"Brand visual representing Lovart's vision for the future of AI design — aspirational, forward-looking, professional",⬜ 待生产,
01-industry-before-after-design.md,IMAGE_1,Persona Scenario,12,"A relatable professional scene depicting the core problem discussed in Before & After Design: Creating Compelling Transformation Vi — authentic, natural lighting, documentary style",⬜ 待生产,
01-industry-before-after-design.md,IMAGE_2,Conceptual Diagram,22,"A hand-drawn conceptual diagram illustrating the main idea of Before & After Design: Creating Compelling Transfo — clean sketch style, creative brainstorming aesthetic",⬜ 待生产,
01-industry-before-after-design.md,IMAGE_4,Brand CTA,133,"Professional brand visual for Lovart AI Design Agent — modern, aspirational, showing the value promised in Before & After Design: Creating Compelling Transfo",⬜ 待生产,
01-industry-education-infographic.md,IMAGE_1,Persona Scenario,12,"A split-screen scene showing two workspaces side by side: one cluttered with multiple tools and tabs (traditional), the other clean with a single Lovart ChatCanvas — contrasting lighting, editorial style",⬜ 待生产,
01-industry-education-infographic.md,IMAGE_2,Conceptual Diagram,20,"A hand-drawn comparison matrix sketch comparing features across tools mentioned in Education Infographic Design with AI: Transform Complex Idea — markers and sticky notes, creative brainstorming aesthetic",⬜ 待生产,
01-industry-education-infographic.md,IMAGE_4,Brand CTA,106,"Professional brand visual showing the Lovart logo and key differentiators highlighted in Education Infographic Design with AI: Transform Co — clean, bold typography, modern tech aesthetic",⬜ 待生产,
01-industry-hair-salon-menu.md,IMAGE_1,Persona Scenario,12,"A professional yet approachable person sitting at their desk, looking slightly frustrated at their computer screen while trying to create a design — warm natural lighting, candid documentary style",⬜ 待生产,
01-industry-hair-salon-menu.md,IMAGE_2,Conceptual Diagram,22,"A hand-drawn sketch diagram showing the step-by-step workflow for creating designs with AI — clean line art on grid paper, arrows connecting each step, minimalist style",⬜ 待生产,
01-industry-hair-salon-menu.md,IMAGE_4,Brand CTA,146,"Professional brand visual for Lovart AI Design Agent — showing the final beautiful design result described in Hair Salon Menu Design: Services, Pricing, and Vis — modern, aspirational, cinematic lighting",⬜ 待生产,
01-industry-healthcare-hipaa-marketing.md,IMAGE_1,Persona Scenario,15,"A professional yet approachable person sitting at their desk, looking slightly frustrated at their computer screen while trying to create a design — warm natural lighting, candid documentary style",⬜ 待生产,
01-industry-healthcare-hipaa-marketing.md,IMAGE_2,Conceptual Diagram,25,"A hand-drawn sketch diagram showing the step-by-step workflow for creating designs with AI — clean line art on grid paper, arrows connecting each step, minimalist style",⬜ 待生产,
01-industry-healthcare-hipaa-marketing.md,IMAGE_4,Brand CTA,98,"Professional brand visual for Lovart AI Design Agent — showing the final beautiful design result described in Healthcare Marketing Design: Creating HIPAA-Aware  — modern, aspirational, cinematic lighting",⬜ 待生产,
01-industry-law-firm-branding.md,IMAGE_1,Persona Scenario,15,"A professional yet approachable person sitting at their desk, looking slightly frustrated at their computer screen while trying to create a design — warm natural lighting, candid documentary style",⬜ 待生产,
01-industry-law-firm-branding.md,IMAGE_2,Conceptual Diagram,25,"A hand-drawn sketch diagram showing the step-by-step workflow for creating designs with AI — clean line art on grid paper, arrows connecting each step, minimalist style",⬜ 待生产,
01-industry-law-firm-branding.md,IMAGE_4,Brand CTA,171,"Professional brand visual for Lovart AI Design Agent — showing the final beautiful design result described in Law Firm Branding: Building Trust, Authority, and  — modern, aspirational, cinematic lighting",⬜ 待生产,
01-industry-multi-platform-restaurant.md,IMAGE_1,Persona Scenario,12,"A professional yet approachable person sitting at their desk, looking slightly frustrated at their computer screen while trying to create a design — warm natural lighting, candid documentary style",⬜ 待生产,
01-industry-multi-platform-restaurant.md,IMAGE_2,Conceptual Diagram,20,"A hand-drawn sketch diagram showing the step-by-step workflow for creating designs with AI — clean line art on grid paper, arrows connecting each step, minimalist style",⬜ 待生产,
01-industry-multi-platform-restaurant.md,IMAGE_4,Brand CTA,82,"Professional brand visual for Lovart AI Design Agent — showing the final beautiful design result described in Multi-Platform Restaurant Branding: From Menu to I — modern, aspirational, cinematic lighting",⬜ 待生产,
01-industry-neighborhood-guide-design.md,IMAGE_1,Persona Scenario,12,"A professional yet approachable person sitting at their desk, looking slightly frustrated at their computer screen while trying to create a design — warm natural lighting, candid documentary style",⬜ 待生产,
01-industry-neighborhood-guide-design.md,IMAGE_2,Conceptual Diagram,20,"A hand-drawn sketch diagram showing the step-by-step workflow for creating designs with AI — clean line art on grid paper, arrows connecting each step, minimalist style",⬜ 待生产,
01-industry-neighborhood-guide-design.md,IMAGE_4,Brand CTA,96,"Professional brand visual for Lovart AI Design Agent — showing the final beautiful design result described in Neighborhood Guide Design for Real Estate: Turn Lo — modern, aspirational, cinematic lighting",⬜ 待生产,
01-industry-saas-landing-page.md,IMAGE_1,Persona Scenario,12,"A split-screen scene showing two workspaces side by side: one cluttered with multiple tools and tabs (traditional), the other clean with a single Lovart ChatCanvas — contrasting lighting, editorial style",⬜ 待生产,
01-industry-saas-landing-page.md,IMAGE_2,Conceptual Diagram,22,"A hand-drawn comparison matrix sketch comparing features across tools mentioned in SaaS Landing Page Design: Hero Images and Feature Visuals Th — markers and sticky notes, creative brainstorming aesthetic",⬜ 待生产,
01-industry-saas-landing-page.md,IMAGE_4,Brand CTA,151,"Professional brand visual showing the Lovart logo and key differentiators highlighted in SaaS Landing Page Design: Hero Images and Feature  — clean, bold typography, modern tech aesthetic",⬜ 待生产,
01-industry-spa-wellness-branding.md,IMAGE_1,Persona Scenario,15,"A professional yet approachable person sitting at their desk, looking slightly frustrated at their computer screen while trying to create a design — warm natural lighting, candid documentary style",⬜ 待生产,
01-industry-spa-wellness-branding.md,IMAGE_2,Conceptual Diagram,25,"A hand-drawn sketch diagram showing the step-by-step workflow for creating designs with AI — clean line art on grid paper, arrows connecting each step, minimalist style",⬜ 待生产,
01-industry-spa-wellness-branding.md,IMAGE_4,Brand CTA,161,"Professional brand visual for Lovart AI Design Agent — showing the final beautiful design result described in Spa & Wellness Branding: A Calming Visual Strategy — modern, aspirational, cinematic lighting",⬜ 待生产,
01-industry-virtual-staging-ai.md,IMAGE_1,Persona Scenario,12,"A professional yet approachable person sitting at their desk, looking slightly frustrated at their computer screen while trying to create a design — warm natural lighting, candid documentary style",⬜ 待生产,
01-industry-virtual-staging-ai.md,IMAGE_2,Conceptual Diagram,22,"A hand-drawn sketch diagram showing the step-by-step workflow for creating designs with AI — clean line art on grid paper, arrows connecting each step, minimalist style",⬜ 待生产,
01-industry-virtual-staging-ai.md,IMAGE_4,Brand CTA,99,"Professional brand visual for Lovart AI Design Agent — showing the final beautiful design result described in Real Estate Virtual Staging with AI: Transform Emp — modern, aspirational, cinematic lighting",⬜ 待生产,
01-insight-2026-year-review.md,IMAGE_1,Persona Scenario,12,"A forward-looking scene depicting the future described in 2026 AI Design Year in Review: The Year AI Became Every Desi — conceptual, artistic, cinematic — a person confidently creating with AI in an innovative workspace",⬜ 待生产,
01-insight-2026-year-review.md,IMAGE_2,Conceptual Diagram,22,"A hand-drawn trend map or timeline showing the evolution described in 2026 AI Design Year in Review: The Year AI Became  — arrows, nodes, annotated predictions — creative consulting aesthetic",⬜ 待生产,
01-insight-2026-year-review.md,IMAGE_4,Brand CTA,82,"Brand visual representing Lovart's vision for the future of AI design — aspirational, forward-looking, professional",⬜ 待生产,
01-insight-2027-ai-design-year-review.md,IMAGE_1,Persona Scenario,21,"A forward-looking scene depicting the future described in 2027 AI Design Year in Review: The Year Design Went Agentic — conceptual, artistic, cinematic — a person confidently creating with AI in an innovative workspace",⬜ 待生产,
01-insight-2027-ai-design-year-review.md,IMAGE_2,Conceptual Diagram,31,"A hand-drawn trend map or timeline showing the evolution described in 2027 AI Design Year in Review: The Year Design Wen — arrows, nodes, annotated predictions — creative consulting aesthetic",⬜ 待生产,
01-insight-2027-ai-design-year-review.md,IMAGE_4,Brand CTA,127,"Brand visual representing Lovart's vision for the future of AI design — aspirational, forward-looking, professional",⬜ 待生产,
01-insight-2027-content-year-summary.md,IMAGE_1,Persona Scenario,21,"A curated flat-lay photography scene showing design tools and outputs mentioned in Lovart 2027: A Year in Content & Community — The F — organized chaos, editorial product photography style",⬜ 待生产,
01-insight-2027-content-year-summary.md,IMAGE_2,Conceptual Diagram,29,"A hand-drawn ranking or scoring matrix showing the criteria used to evaluate options in Lovart 2027: A Year in Content & Community — The F — colorful markers, creative layout",⬜ 待生产,
01-insight-2027-content-year-summary.md,IMAGE_4,Brand CTA,164,"Brand visual showing 'Best of' collection — multiple beautiful design outputs arranged in a grid, modern gallery aesthetic",⬜ 待生产,
01-insight-2027-design-trends.md,IMAGE_1,Persona Scenario,25,"A forward-looking scene depicting the future described in 2027 Design Trend Predictions: What's Coming Next in Visual  — conceptual, artistic, cinematic — a person confidently creating with AI in an innovative workspace",⬜ 待生产,
01-insight-2027-design-trends.md,IMAGE_2,Conceptual Diagram,35,"A hand-drawn trend map or timeline showing the evolution described in 2027 Design Trend Predictions: What's Coming Next  — arrows, nodes, annotated predictions — creative consulting aesthetic",⬜ 待生产,
01-insight-2027-design-trends.md,IMAGE_4,Brand CTA,135,"Brand visual representing Lovart's vision for the future of AI design — aspirational, forward-looking, professional",⬜ 待生产,
01-insight-2028-design-trends.md,IMAGE_1,Persona Scenario,21,"A curated flat-lay photography scene showing design tools and outputs mentioned in 2028 Design Trend Predictions: What Comes After th — organized chaos, editorial product photography style",⬜ 待生产,
01-insight-2028-design-trends.md,IMAGE_2,Conceptual Diagram,31,"A hand-drawn ranking or scoring matrix showing the criteria used to evaluate options in 2028 Design Trend Predictions: What Comes After th — colorful markers, creative layout",⬜ 待生产,
01-insight-2028-design-trends.md,IMAGE_4,Brand CTA,147,"Brand visual showing 'Best of' collection — multiple beautiful design outputs arranged in a grid, modern gallery aesthetic",⬜ 待生产,
01-insight-ai-design-2028-predictions.md,IMAGE_1,Persona Scenario,28,"A forward-looking scene depicting the future described in AI Design 2028: 5 Predictions from the Lovart Team — conceptual, artistic, cinematic — a person confidently creating with AI in an innovative workspace",⬜ 待生产,
01-insight-ai-design-2028-predictions.md,IMAGE_2,Conceptual Diagram,38,"A hand-drawn trend map or timeline showing the evolution described in AI Design 2028: 5 Predictions from the Lovart Team — arrows, nodes, annotated predictions — creative consulting aesthetic",⬜ 待生产,
01-insight-ai-design-2028-predictions.md,IMAGE_4,Brand CTA,183,"Brand visual representing Lovart's vision for the future of AI design — aspirational, forward-looking, professional",⬜ 待生产,
01-pillar-ai-brand-design-playbook.md,IMAGE_1,Persona Scenario,16,"A professional yet approachable person sitting at their desk, looking slightly frustrated at their computer screen while trying to create a design — warm natural lighting, candid documentary style",⬜ 待生产,
01-pillar-ai-brand-design-playbook.md,IMAGE_2,Conceptual Diagram,26,"A hand-drawn sketch diagram showing the step-by-step workflow for creating designs with AI — clean line art on grid paper, arrows connecting each step, minimalist style",⬜ 待生产,
01-pillar-ai-brand-design-playbook.md,IMAGE_4,Brand CTA,328,"Professional brand visual for Lovart AI Design Agent — showing the final beautiful design result described in AI Brand Design Playbook: From Logo to Complete Vi — modern, aspirational, cinematic lighting",⬜ 待生产,
01-pillar-ai-design-technology.md,IMAGE_1,Persona Scenario,20,"A professional yet approachable person sitting at their desk, looking slightly frustrated at their computer screen while trying to create a design — warm natural lighting, candid documentary style",⬜ 待生产,
01-pillar-ai-design-technology.md,IMAGE_2,Conceptual Diagram,28,"A hand-drawn sketch diagram showing the step-by-step workflow for creating designs with AI — clean line art on grid paper, arrows connecting each step, minimalist style",⬜ 待生产,
01-pillar-ai-design-technology.md,IMAGE_4,Brand CTA,214,"Professional brand visual for Lovart AI Design Agent — showing the final beautiful design result described in From Diffusion Models to Design Agents: The Techno — modern, aspirational, cinematic lighting",⬜ 待生产,
01-pillar-ai-ecommerce-visuals.md,IMAGE_1,Persona Scenario,17,"A professional yet approachable person sitting at their desk, looking slightly frustrated at their computer screen while trying to create a design — warm natural lighting, candid documentary style",⬜ 待生产,
01-pillar-ai-ecommerce-visuals.md,IMAGE_2,Conceptual Diagram,38,"A hand-drawn sketch diagram showing the step-by-step workflow for creating designs with AI — clean line art on grid paper, arrows connecting each step, minimalist style",⬜ 待生产,
01-pillar-ai-ecommerce-visuals.md,IMAGE_4,Brand CTA,332,"Professional brand visual for Lovart AI Design Agent — showing the final beautiful design result described in AI for E-Commerce: Visual Content That Converts (2 — modern, aspirational, cinematic lighting",⬜ 待生产,
01-pillar-ai-video-generation-101.md,IMAGE_1,Persona Scenario,15,"A professional yet approachable person sitting at their desk, looking slightly frustrated at their computer screen while trying to create a design — warm natural lighting, candid documentary style",⬜ 待生产,
01-pillar-ai-video-generation-101.md,IMAGE_2,Conceptual Diagram,19,"A hand-drawn sketch diagram showing the step-by-step workflow for creating designs with AI — clean line art on grid paper, arrows connecting each step, minimalist style",⬜ 待生产,
01-pillar-ai-video-generation-101.md,IMAGE_4,Brand CTA,441,"Professional brand visual for Lovart AI Design Agent — showing the final beautiful design result described in AI Video Generation 101: The Complete Guide to Cre — modern, aspirational, cinematic lighting",⬜ 待生产,
01-pillar-best-ai-design-tools.md,IMAGE_1,Persona Scenario,29,"A professional yet approachable person sitting at their desk, looking slightly frustrated at their computer screen while trying to create a design — warm natural lighting, candid documentary style",⬜ 待生产,
01-pillar-best-ai-design-tools.md,IMAGE_2,Conceptual Diagram,39,"A hand-drawn sketch diagram showing the step-by-step workflow for creating designs with AI — clean line art on grid paper, arrows connecting each step, minimalist style",⬜ 待生产,
01-pillar-best-ai-design-tools.md,IMAGE_4,Brand CTA,252,"Professional brand visual for Lovart AI Design Agent — showing the final beautiful design result described in Best AI Design Tools 2026: The Complete Comparison — modern, aspirational, cinematic lighting",⬜ 待生产,
