tier,age_days,staleness_days,type,language,slug,title,publishedAt,updatedAt,recovery_action
tier3-audit,554,2,compositePage,en,ai-lookbook-generator,AI Lookbook Generator: Professional lookbook generator with AI | Lovart,2025-01-06,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,653,2,compositePage,en,ai-social-media-tool-for-business,AI Social Media Tool For Business: Professional social media tool for business with AI | Lovart,2024-09-29,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,673,2,compositePage,en,ai-virtual-try-on,AI Virtual Try on: Professional virtual try on with AI | Lovart,2024-09-09,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,561,2,compositePage,en,ai-design-tool-for-agencies,AI Design Tool For Agencies: Professional design tool for agencies with AI | Lovart,2024-12-30,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,547,2,compositePage,en,ai-video-generator-no-watermark,AI Video Generator no Watermark: Professional video generator no watermark with AI | Lovart,2025-01-13,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,479,2,compositePage,en,ai-brand-consistency-enterprise,AI Brand Consistency Enterprise: Professional brand consistency enterprise with AI | Lovart,2025-03-22,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,477,2,compositePage,en,ai-content-platform-enterprise,AI Content Platform Enterprise: Professional content platform enterprise with AI | Lovart,2025-03-24,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,434,2,compositePage,en,ai-creative-suite-api,AI Creative Suite Api: Professional creative suite api with AI | Lovart,2025-05-06,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,486,2,compositePage,en,ai-makeup-generator,AI Makeup Generator: Professional makeup generator with AI | Lovart,2025-03-15,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,535,2,compositePage,en,ai-video-generator-for-enterprise,AI Video Generator For Enterprise: Professional video generator for enterprise with AI | Lovart,2025-01-25,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,679,2,compositePage,en,image-to-3d-ai,Image to 3D AI: Professional image to 3d ai with AI | Lovart,2024-09-03,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,390,13,blog,it,ai-body-editor-tools-compared-it,Editor AI Body & Age a confronto: FaceApp vs EPIK vs Lovart,2025-06-20,2026-07-01,"C.已维护: 保留, 监控"
tier3-audit,390,8,blog,it,ai-brand-design-tips-it,Errori di progettazione del marchio AI da evitare: suggerimenti professionali per risultati migliori,2025-06-20,2026-07-06,"C.已维护: 保留, 监控"
tier3-audit,455,2,compositePage,en,ai-photo-generator,AI Photo Generator: Realistic Product & Lifestyle Photos | Lovart,2025-04-15,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,480,2,compositePage,en,ai-face-swap-api,AI Face Swap Api: Professional face swap api with AI | Lovart,2025-03-21,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,664,2,compositePage,en,ai-video-generator-app,AI Video Generator App: Professional video generator app with AI | Lovart,2024-09-18,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,470,2,compositePage,en,ai-twitter-header-designer,AI Twitter Header Designer: Professional twitter header designer with AI | Lovart,2025-03-31,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,511,2,compositePage,en,ai-texture-generator,AI Texture Generator: Professional texture generator with AI | Lovart,2025-02-18,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,478,2,compositePage,en,ai-3d-modeling-tutorial,AI 3D Modeling Tutorial: Professional 3d modeling tutorial with AI | Lovart,2025-03-23,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,635,2,compositePage,en,ai-marketing-design-tutorial,AI Marketing Design Tutorial: Professional marketing design tutorial with AI | Lovart,2024-10-17,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,482,2,compositePage,en,ai-asset-management-enterprise,AI Asset Management Enterprise: Professional asset management enterprise with AI | Lovart,2025-03-19,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,607,2,compositePage,en,ai-body-generator,AI Body Generator: Professional body generator with AI | Lovart,2024-11-14,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,666,2,compositePage,en,ai-video-generator-for-education,AI Video Generator For Education: Professional video generator for education with AI | Lovart,2024-09-16,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,674,2,compositePage,en,ai-voice-generator-free,AI Voice Generator Free: Professional voice generator free with AI | Lovart,2024-09-08,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,614,2,compositePage,en,ai-face-enhancer,AI Face Enhancer: Professional face enhancer with AI | Lovart,2024-11-07,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,539,2,compositePage,en,ai-avatar-generator-free,AI Avatar Generator Free: Professional avatar generator free with AI | Lovart,2025-01-21,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,538,2,compositePage,en,best-ai-animation-tool-2026,Best AI Animation Tool 2026: Professional best ai animation tool 2026 with AI | Lovart,2025-01-22,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,671,2,compositePage,en,ai-video-merger,AI Video Merger: Professional video merger with AI | Lovart,2024-09-11,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,630,2,compositePage,en,ai-invoice-generator,AI Invoice Generator: Professional invoice generator with AI | Lovart,2024-10-22,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,638,2,compositePage,en,ai-music-generator-free,AI Music Generator Free: Professional music generator free with AI | Lovart,2024-10-14,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,411,1,blog,en,best-ai-design-agent-for-dentists,Best AI Design Agent For Dentists,2025-05-29,2026-07-13,"C.已维护: 保留, 监控"
tier3-audit,410,1,blog,en,best-ai-design-agent-for-sushi-bars,Best AI Design Agent For Sushi Bars,2025-05-30,2026-07-13,"C.已维护: 保留, 监控"
tier3-audit,459,1,blog,en,brand-kit-for-art-galleries,Brand Kit for Art Galleries: Build a Visual System With AI,2025-04-11,2026-07-13,"C.已维护: 保留, 监控"
tier3-audit,417,1,blog,en,brand-kit-for-boutique-hotels,Brand Kit for Boutique Hotels: Build a Visual System With AI,2025-05-23,2026-07-13,"C.已维护: 保留, 监控"
tier3-audit,437,1,blog,en,brand-kit-for-catering-businesses,Brand Kit for Catering Businesses: Build a Visual System With AI,2025-05-03,2026-07-13,"C.已维护: 保留, 监控"
tier3-audit,446,1,blog,en,brand-kit-for-dentists,Brand Kit for Dentists: Build a Visual System With AI,2025-04-24,2026-07-13,"C.已维护: 保留, 监控"
tier3-audit,454,1,blog,en,brand-kit-for-event-planners,Brand Kit for Event Planners: Build a Visual System With AI,2025-04-16,2026-07-13,"C.已维护: 保留, 监控"
tier3-audit,443,1,blog,en,brand-kit-for-interior-designers,Brand Kit for Interior Designers: Build a Visual System With AI,2025-04-27,2026-07-13,"C.已维护: 保留, 监控"
tier3-audit,454,1,blog,en,brand-kit-for-sushi-bars,Brand Kit for Sushi Bars: Build a Visual System With AI,2025-04-16,2026-07-13,"C.已维护: 保留, 监控"
tier3-audit,544,2,compositePage,en,ai-brand-asset-manager,AI Brand Asset Manager: Professional brand asset manager with AI | Lovart,2025-01-16,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,645,2,compositePage,en,ai-portrait-generator,AI Portrait Generator: Professional portrait generator with AI | Lovart,2024-10-07,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,603,2,compositePage,en,ai-3d-model-generator-free,AI 3D Model Generator Free: Professional 3d model generator free with AI | Lovart,2024-11-18,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,552,2,compositePage,en,ai-video-generator-enterprise,AI Video Generator Enterprise: Professional video generator enterprise with AI | Lovart,2025-01-08,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,504,2,compositePage,en,ai-design-app,AI Design App: Professional design app with AI | Lovart,2025-02-25,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,560,2,compositePage,en,ai-design-tool-enterprise,AI Design Tool Enterprise: Professional design tool enterprise with AI | Lovart,2024-12-31,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,675,2,compositePage,en,ai-wireframe-generator,AI Wireframe Generator: Professional wireframe generator with AI | Lovart,2024-09-07,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,481,2,compositePage,en,ai-animation-generator-no-watermark,AI Animation Generator no Watermark: Professional animation generator no watermark with AI | Lovart,2025-03-20,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,518,2,compositePage,en,ai-content-generation-api,AI Content Generation Api: Professional content generation api with AI | Lovart,2025-02-11,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,462,2,compositePage,en,ai-image-generator-no-watermark,AI Image Generator no Watermark: Professional image generator no watermark with AI | Lovart,2025-04-08,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,628,2,compositePage,en,ai-image-restorer,AI Image Restorer: Professional image restorer with AI | Lovart,2024-10-24,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,609,2,compositePage,en,ai-concept-art-generator,AI Concept Art Generator: Professional concept art generator with AI | Lovart,2024-11-12,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,484,2,compositePage,en,ai-email-template-designer,AI Email Template Designer: Professional email template designer with AI | Lovart,2025-03-17,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,649,2,compositePage,en,ai-resume-builder-free,AI Resume Builder Free: Professional resume builder free with AI | Lovart,2024-10-03,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,617,2,compositePage,en,ai-fashion-model-generator,AI Fashion Model Generator: Professional fashion model generator with AI | Lovart,2024-11-04,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,618,2,compositePage,en,ai-gender-swap-tool,AI Gender Swap Tool: Professional gender swap tool with AI | Lovart,2024-11-03,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,610,2,compositePage,en,ai-creative-tool-for-enterprise,AI Creative Tool For Enterprise: Professional creative tool for enterprise with AI | Lovart,2024-11-11,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,515,2,compositePage,en,ai-aging-filter,AI Aging Filter: Professional aging filter with AI | Lovart,2025-02-14,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,543,2,compositePage,en,ai-logo-maker-free,AI Logo Maker Free: Professional logo maker free with AI | Lovart,2025-01-17,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,467,2,compositePage,en,ai-design-tool-for-startups,AI Design Tool For Startups: Professional design tool for startups with AI | Lovart,2025-04-03,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,548,2,compositePage,en,ai-video-enhancer,AI Video Enhancer: Professional video enhancer with AI | Lovart,2025-01-12,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,508,2,compositePage,en,ai-collaboration-tool-enterprise,AI Collaboration Tool Enterprise: Professional collaboration tool enterprise with AI | Lovart,2025-02-21,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,458,2,compositePage,en,ai-logo-maker-app,AI Logo Maker App: Professional logo maker app with AI | Lovart,2025-04-12,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,621,2,compositePage,en,ai-image-editor-api,AI Image Editor Api: Professional image editor api with AI | Lovart,2024-10-31,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,640,2,compositePage,en,ai-photo-editor-download,AI Photo Editor Download: Professional photo editor download with AI | Lovart,2024-10-12,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,536,2,compositePage,en,ai-video-generator-for-marketing,AI Video Generator For Marketing: Professional video generator for marketing with AI | Lovart,2025-01-24,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,559,2,compositePage,en,ai-content-scheduler-designer,AI Content Scheduler Designer: Professional content scheduler designer with AI | Lovart,2025-01-01,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,519,2,compositePage,en,ai-content-repurposer,AI Content Repurposer: Professional content repurposer with AI | Lovart,2025-02-10,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,456,1,blog,en,lovart-descript-video-editing-workflow,Lovart Descript Video Editing Workflow,2025-04-14,2026-07-13,"C.已维护: 保留, 监控"
tier3-audit,440,1,blog,en,lovart-make-no-code-automation,Lovart Make No Code Automation,2025-04-30,2026-07-13,"C.已维护: 保留, 监控"
tier3-audit,467,2,blog,en,lovart-notion-api-database-to-visual,Lovart Notion Api Database To Visual,2025-04-03,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,385,2,compositePage,fr,ai-brand-tool,[FR] AI Brand Tool — Build & Manage Your Brand | Lovart,2025-06-24,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,385,2,compositePage,it,ai-brand-tool,[IT] AI Brand Tool — Build & Manage Your Brand | Lovart,2025-06-24,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,385,2,compositePage,ja,ai-brand-tool,[JA] AI Brand Tool — Build & Manage Your Brand | Lovart,2025-06-24,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,385,2,compositePage,pt,ai-brand-tool,[PT] AI Brand Tool — Build & Manage Your Brand | Lovart,2025-06-24,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,385,2,compositePage,zh-TW,ai-brand-tool,[ZH-TW] AI Brand Tool — Build & Manage Your Brand | Lovart,2025-06-24,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,499,2,compositePage,de,ai-business-card-scanner,[DE] AI Business Card Designer — Digital & Print Business Cards | Lovart,2025-03-02,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,499,2,compositePage,fr,ai-business-card-scanner,[FR] AI Business Card Designer — Digital & Print Business Cards | Lovart,2025-03-02,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,499,2,compositePage,pt,ai-business-card-scanner,[PT] AI Business Card Designer — Digital & Print Business Cards | Lovart,2025-03-02,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,499,2,compositePage,ru,ai-business-card-scanner,[RU] AI Business Card Designer — Digital & Print Business Cards | Lovart,2025-03-02,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,376,2,compositePage,de,ai-certificate-maker,[DE] Free AI Certificate Maker — Design Custom Certificates | Lovart,2025-07-03,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,376,2,compositePage,fr,ai-certificate-maker,[FR] Free AI Certificate Maker — Design Custom Certificates | Lovart,2025-07-03,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,376,2,compositePage,ko,ai-certificate-maker,[KO] Free AI Certificate Maker — Design Custom Certificates | Lovart,2025-07-03,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,376,2,compositePage,pt,ai-certificate-maker,[PT] Free AI Certificate Maker — Design Custom Certificates | Lovart,2025-07-03,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,376,2,compositePage,ru,ai-certificate-maker,[RU] Free AI Certificate Maker — Design Custom Certificates | Lovart,2025-07-03,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,376,2,compositePage,zh-TW,ai-certificate-maker,[ZH-TW] Free AI Certificate Maker — Design Custom Certificates | Lovart,2025-07-03,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,426,2,compositePage,de,ai-content-calendar,[DE] AI Content Calendar Designer — Plan & Design Content | Lovart,2025-05-14,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,426,2,compositePage,fr,ai-content-calendar,[FR] AI Content Calendar Designer — Plan & Design Content | Lovart,2025-05-14,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,426,2,compositePage,it,ai-content-calendar,[IT] AI Content Calendar Designer — Plan & Design Content | Lovart,2025-05-14,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,426,2,compositePage,ja,ai-content-calendar,[JA] AI Content Calendar Designer — Plan & Design Content | Lovart,2025-05-14,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,426,2,compositePage,ko,ai-content-calendar,[KO] AI Content Calendar Designer — Plan & Design Content | Lovart,2025-05-14,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,426,2,compositePage,pt,ai-content-calendar,[PT] AI Content Calendar Designer — Plan & Design Content | Lovart,2025-05-14,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,426,2,compositePage,zh-TW,ai-content-calendar,[ZH-TW] AI Content Calendar Designer — Plan & Design Content | Lovart,2025-05-14,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,564,2,compositePage,de,ai-crisis-communication,[DE] AI Crisis Communication Template — Emergency Response Documents | Lovart,2024-12-27,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,564,2,compositePage,it,ai-crisis-communication,[IT] AI Crisis Communication Template — Emergency Response Documents | Lovart,2024-12-27,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,564,2,compositePage,ko,ai-crisis-communication,[KO] AI Crisis Communication Template — Emergency Response Documents | Lovart,2024-12-27,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,564,2,compositePage,pt,ai-crisis-communication,[PT] AI Crisis Communication Template — Emergency Response Documents | Lovart,2024-12-27,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,564,2,compositePage,ru,ai-crisis-communication,[RU] AI Crisis Communication Template — Emergency Response Documents | Lovart,2024-12-27,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,564,2,compositePage,zh-TW,ai-crisis-communication,[ZH-TW] AI Crisis Communication Template — Emergency Response Documents | Lovart,2024-12-27,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,367,2,compositePage,de,ai-design-alternative,[DE] AI Design Alternative — Switch to Intelligent Design | Lovart,2025-07-12,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,367,2,compositePage,fr,ai-design-alternative,[FR] AI Design Alternative — Switch to Intelligent Design | Lovart,2025-07-12,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,367,2,compositePage,it,ai-design-alternative,[IT] AI Design Alternative — Switch to Intelligent Design | Lovart,2025-07-12,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,367,2,compositePage,ko,ai-design-alternative,[KO] AI Design Alternative — Switch to Intelligent Design | Lovart,2025-07-12,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,367,2,compositePage,pt,ai-design-alternative,[PT] AI Design Alternative — Switch to Intelligent Design | Lovart,2025-07-12,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,367,2,compositePage,ru,ai-design-alternative,[RU] AI Design Alternative — Switch to Intelligent Design | Lovart,2025-07-12,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,381,2,compositePage,ja,ai-design-collaboration,[JA] AI Design Collaboration — Team Design Workspace | Lovart,2025-06-28,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,381,2,compositePage,ko,ai-design-collaboration,[KO] AI Design Collaboration — Team Design Workspace | Lovart,2025-06-28,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,381,2,compositePage,pt,ai-design-collaboration,[PT] AI Design Collaboration — Team Design Workspace | Lovart,2025-06-28,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,381,2,compositePage,zh-TW,ai-design-collaboration,[ZH-TW] AI Design Collaboration — Team Design Workspace | Lovart,2025-06-28,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,401,2,compositePage,de,ai-design-enterprise-team,[DE] AI Design for Enterprise Teams — Corporate Creative Platform | Lovart,2025-06-08,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,401,2,compositePage,fr,ai-design-enterprise-team,[FR] AI Design for Enterprise Teams — Corporate Creative Platform | Lovart,2025-06-08,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,401,2,compositePage,it,ai-design-enterprise-team,[IT] AI Design for Enterprise Teams — Corporate Creative Platform | Lovart,2025-06-08,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,401,2,compositePage,ja,ai-design-enterprise-team,[JA] AI Design for Enterprise Teams — Corporate Creative Platform | Lovart,2025-06-08,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,401,2,compositePage,ko,ai-design-enterprise-team,[KO] AI Design for Enterprise Teams — Corporate Creative Platform | Lovart,2025-06-08,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,401,2,compositePage,zh-TW,ai-design-enterprise-team,[ZH-TW] AI Design for Enterprise Teams — Corporate Creative Platform | Lovart,2025-06-08,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,407,2,compositePage,ja,ai-design-for-product-managers,[JA] AI Design for Product Managers — Product Marketing Assets | Lovart,2025-06-02,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,407,2,compositePage,ko,ai-design-for-product-managers,[KO] AI Design for Product Managers — Product Marketing Assets | Lovart,2025-06-02,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,407,2,compositePage,ru,ai-design-for-product-managers,[RU] AI Design for Product Managers — Product Marketing Assets | Lovart,2025-06-02,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,407,2,compositePage,zh-TW,ai-design-for-product-managers,[ZH-TW] AI Design for Product Managers — Product Marketing Assets | Lovart,2025-06-02,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,447,2,compositePage,de,ai-instagram-posts,[DE] AI Instagram Post Maker — Design Grid-Ready Content | Lovart,2025-04-23,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,447,2,compositePage,ja,ai-instagram-posts,[JA] AI Instagram Post Maker — Design Grid-Ready Content | Lovart,2025-04-23,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,447,2,compositePage,ko,ai-instagram-posts,[KO] AI Instagram Post Maker — Design Grid-Ready Content | Lovart,2025-04-23,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,447,2,compositePage,pt,ai-instagram-posts,[PT] AI Instagram Post Maker — Design Grid-Ready Content | Lovart,2025-04-23,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,447,2,compositePage,ru,ai-instagram-posts,[RU] AI Instagram Post Maker — Design Grid-Ready Content | Lovart,2025-04-23,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,389,2,compositePage,it,ai-logo-design,[IT] AI Logo Design Tool — Professional Logo Creator | Lovart,2025-06-20,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,389,2,compositePage,ja,ai-logo-design,[JA] AI Logo Design Tool — Professional Logo Creator | Lovart,2025-06-20,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,389,2,compositePage,ko,ai-logo-design,[KO] AI Logo Design Tool — Professional Logo Creator | Lovart,2025-06-20,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,389,2,compositePage,ru,ai-logo-design,[RU] AI Logo Design Tool — Professional Logo Creator | Lovart,2025-06-20,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,404,2,compositePage,de,ai-online-photo-editor,[DE] AI Online Photo Editor — Edit Images in Browser | Lovart,2025-06-05,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,404,2,compositePage,fr,ai-online-photo-editor,[FR] AI Online Photo Editor — Edit Images in Browser | Lovart,2025-06-05,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,404,2,compositePage,ja,ai-online-photo-editor,[JA] AI Online Photo Editor — Edit Images in Browser | Lovart,2025-06-05,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,404,2,compositePage,ko,ai-online-photo-editor,[KO] AI Online Photo Editor — Edit Images in Browser | Lovart,2025-06-05,2026-07-12,"C.已维护: 保留, 监控"
tier3-audit,404,2,compositePage,zh-TW,ai-online-photo-editor,[ZH-TW] AI Online Photo Editor — Edit Images in Browser | Lovart,2025-06-05,2026-07-12,"C.已维护: 保留, 监控"
