language,slug,replicas,decision,primary_id,primary_title,secondary_id,secondary_title,seo_title_diff,action
de,ai-mockup-generator,2,Long seoDesc + uuid _id 优先保留,ai-mockup-generator-de,KI-Mockup-Generator: Erstelle fotorealistische Produktszenen,tools-ai-mockup-generator-de,Ai Mockup Generator | Lovart, P[KI-Mockup-Generator: Erstelle fotorealis] vs S[ai-mockup-generator | Lovart];,MOVE TO DRAFTS: tools-ai-mockup-generator-de (保留原 _id 但不发布); 设 redirect 从该 slug URL → primary
it,ai-business-card-maker,2,Long seoDesc + uuid _id 优先保留,features-ai-business-card-maker-it,chef 商务 卡片 设计 | Lovart,tools-ai-business-card-maker-it,Ai Business Card Maker | Lovart, P[chef 商务 卡片 设计 | Lovart] vs S[ai-business-card-maker | Lovart];,MOVE TO DRAFTS: tools-ai-business-card-maker-it (保留原 _id 但不发布); 设 redirect 从该 slug URL → primary
it,ai-design-agent,2,Long seoDesc + uuid _id 优先保留,73328639-b683-4758-9516-66f864b97d9a-it,Agente di progettazione AI | Branding autonomo e flusso di l,features-ai-design-agent-it,Agente IA Lovart: branding autonomo e flusso creativo, P[Agente di progettazione AI | Branding au] vs S[Agente IA Lovart: branding autonomo e fl];,MOVE TO DRAFTS: features-ai-design-agent-it (保留原 _id 但不发布); 设 redirect 从该 slug URL → primary
it,ai-facebook-poster-generator,2,Long seoDesc + uuid _id 优先保留,features-ai-facebook-poster-generator-it,Generatore di poster Facebook IA | Lovart,features-ai-facebook-poster-generator-pt,AI Facebook Poster Generator | Lovart, P[Generatore di poster Facebook IA | Lovar] vs S[AI Facebook Poster Generator | Lovart];,MOVE TO DRAFTS: features-ai-facebook-poster-generator-pt (保留原 _id 但不发布); 设 redirect 从该 slug URL → primary
it,ai-mockup-generator,2,Long seoDesc + uuid _id 优先保留,features-ai-mockup-generator-it,Generatore di mockup IA: scene prodotto fotorealistiche | Lo,tools-ai-mockup-generator-it,Ai Mockup Generator | Lovart, P[Generatore di mockup IA: scene prodotto ] vs S[ai-mockup-generator | Lovart];,MOVE TO DRAFTS: tools-ai-mockup-generator-it (保留原 _id 但不发布); 设 redirect 从该 slug URL → primary
it,ai-video-generator,2,Long seoDesc + uuid _id 优先保留,features-ai-video-generator-it,"Generatore video IA: crea con Sora 2, Veo 3 & Kling | Lovart",tools-ai-video-generator-it,Generatore video AI | Trasforma immagini e testo in video | ," P[Generatore video IA: crea con Sora 2, Ve] vs S[Generatore video AI | Trasforma immagini];",MOVE TO DRAFTS: tools-ai-video-generator-it (保留原 _id 但不发布); 设 redirect 从该 slug URL → primary
it,image-to-video-ai,2,Long seoDesc + uuid _id 优先保留,topic-image-to-video-ai-it,IA da Immagine a Video — Anima Immagini Statiche con il Moto,tools-image-to-video-ai-it,Image To Video Ai | Lovart, P[IA Immagine-Video: Trasforma le Tue Foto] vs S[image-to-video-ai | Lovart];,MOVE TO DRAFTS: tools-image-to-video-ai-it (保留原 _id 但不发布); 设 redirect 从该 slug URL → primary
ja,ai-design-agent,2,Long seoDesc + uuid _id 优先保留,73328639-b683-4758-9516-66f864b97d9a-ja,AIデザインエージェント |自律的なブランディングとクリエイティブ ワークフロー |ロヴァート,features-ai-design-agent-ja,AIデザインエージェント：自律ブランディングと創造的ワークフロー, P[AI AI Design Agent — プロフェッショナルなデザインを瞬時に作] vs S[AIデザインエージェント：自律ブランディングと創造的ワークフロー];,MOVE TO DRAFTS: features-ai-design-agent-ja (保留原 _id 但不发布); 设 redirect 从该 slug URL → primary
ja,ai-picture-generator,2,Long seoDesc + uuid _id 优先保留,features-ai-picture-generator-ja,affiliate ads 生成器 | Lovart,tools-ai-picture-generator-ja,AI画像生成|Lovart, P[affiliate ads 生成器 | Lovart] vs S[AI画像生成 | テキストからプロ品質の画像を瞬時に作成 | Lovart];,MOVE TO DRAFTS: tools-ai-picture-generator-ja (保留原 _id 但不发布); 设 redirect 从该 slug URL → primary
ja,ai-video-generator,2,Long seoDesc + uuid _id 优先保留,features-ai-video-generator-ja,Sora 2、Veo 3、Klingで動画生成｜Lovart,tools-ai-video-generator-ja,AI Video Generator |画像とテキストをビデオに変換 |ロヴァート, P[Sora 2、Veo 3、Klingで動画生成｜Lovart] vs S[AI AI Video Generator — プロフェッショナルなデザインを瞬];,MOVE TO DRAFTS: tools-ai-video-generator-ja (保留原 _id 但不发布); 设 redirect 从该 slug URL → primary
ja,create-videos-from-images-or-text-seedance,2,Long seoDesc + uuid _id 优先保留,bea97c568706424eb0ffe290e6f1a71b-ja,create videos from images or text seedance | Lovart,features-create-videos-from-images-or-text-seedance-ja,画像やテキストから動画生成「Seedance 2.0」｜Lovart, P[create videos from images or text seedan] vs S[画像やテキストから動画生成「Seedance 2.0」｜Lovart];,MOVE TO DRAFTS: features-create-videos-from-images-or-text-seedance-ja (保留原 _id 但不发布); 设 redirect 从该 slug URL → primary
ko,ai-design-agent,2,Long seoDesc + uuid _id 优先保留,73328639-b683-4758-9516-66f864b97d9a-ko,AI 디자인 에이전트 | 자율적인 브랜딩 및 크리에이티브 워크플로우 | 로바트,features-ai-design-agent-ko,AI 디자인 에이전트: 자동 브랜딩 & 창작 워크플로우 | Lovart, P[AI AI Design Agent — 전문적인 디자인을 즉시 제작 | L] vs S[AI 디자인 에이전트: 자동 브랜딩 & 창작 워크플로우 | Lovart];,MOVE TO DRAFTS: features-ai-design-agent-ko (保留原 _id 但不发布); 设 redirect 从该 slug URL → primary
ko,ai-video-generator,2,Long seoDesc + uuid _id 优先保留,features-ai-video-generator-ko,"소라2, 비오3, 클링으로 만드는 AI 영상 | Lovart",tools-ai-video-generator-ko,AI 영상 생성기 | 이미지와 텍스트를 비디오로 전환 | 로바트," P[소라2, 비오3, 클링으로 만드는 AI 영상 | Lovart] vs S[AI AI Video Generator — 전문적인 디자인을 즉시 제작 ];",MOVE TO DRAFTS: tools-ai-video-generator-ko (保留原 _id 但不发布); 设 redirect 从该 slug URL → primary
pt,ai-design-agent,2,Long seoDesc + uuid _id 优先保留,73328639-b683-4758-9516-66f864b97d9a-pt,Agente de design de IA | Branding autônomo e fluxo de trabal,features-ai-design-agent-pt,Agente de Design com IA: Fluxo Criativo e Marca Autônoma | L, P[Agente de design de IA | Branding autôno] vs S[Agente de Design com IA: Fluxo Criativo ];,MOVE TO DRAFTS: features-ai-design-agent-pt (保留原 _id 但不发布); 设 redirect 从该 slug URL → primary
pt,ai-video-generator,2,Long seoDesc + uuid _id 优先保留,features-ai-video-generator-pt,"Gerador de Vídeos com IA: Sora 2, Veo 3 & Kling | Lovart",tools-ai-video-generator-pt,Gerador de vídeo AI | Transforme imagens e texto em vídeo | ," P[Gerador de Vídeos com IA: Sora 2, Veo 3 ] vs S[Gerador de vídeo AI | Transforme imagens];",MOVE TO DRAFTS: tools-ai-video-generator-pt (保留原 _id 但不发布); 设 redirect 从该 slug URL → primary
ru,ai-design-agent,2,Long seoDesc + uuid _id 优先保留,73328639-b683-4758-9516-66f864b97d9a-ru,Агент по разработке искусственного интеллекта | Автономный б,features-ai-design-agent-ru,ИИ-дизайнер: автономный брендинг и креатив | Lovart, P[ИИ AI Design Agent — Создайте профессион] vs S[ИИ-дизайнер: автономный брендинг и креат];,MOVE TO DRAFTS: features-ai-design-agent-ru (保留原 _id 但不发布); 设 redirect 从该 slug URL → primary
ru,ai-mockup-generator,2,Long seoDesc + uuid _id 优先保留,features-ai-mockup-generator-ru,Генератор мокапов ИИ: фотореалистичные сцены | Lovart,tools-ai-mockup-generator-ru,Ai Mockup Generator | Lovart, P[Генератор мокапов ИИ: фотореалистичные с] vs S[ai-mockup-generator | Lovart];,MOVE TO DRAFTS: tools-ai-mockup-generator-ru (保留原 _id 但不发布); 设 redirect 从该 slug URL → primary
ru,ai-video-generator,2,Long seoDesc + uuid _id 优先保留,features-ai-video-generator-ru,"Генератор ИИ-видео: Sora 2, Veo 3, Kling | Lovart",tools-ai-video-generator-ru,Видеогенератор AI | Превратите изображения и текст в видео |," P[Генератор ИИ-видео: Sora 2, Veo 3, Kling] vs S[ИИ AI Video Generator — Создайте професс];",MOVE TO DRAFTS: tools-ai-video-generator-ru (保留原 _id 但不发布); 设 redirect 从该 slug URL → primary
ru,image-to-video-ai,2,Long seoDesc + uuid _id 优先保留,topic-image-to-video-ai-ru,ИИ преобразования изображений в видео — Анимируйте фото с дв,tools-image-to-video-ai-ru,Image To Video Ai | Lovart, P[ИИ-конвертер изображений в видео: превра] vs S[image-to-video-ai | Lovart];,MOVE TO DRAFTS: tools-image-to-video-ai-ru (保留原 _id 但不发布); 设 redirect 从该 slug URL → primary
zh,ai-avatar-generator,2,Long seoDesc + uuid _id 优先保留,21dd4b6c-e23a-4440-ae85-b234c9ca57ac-zh,AI 头像生成器 | 一键创建专业虚拟形象与数字人 | Lovart,tools-ai-avatar-generator-zh,AI 虚拟形象生成器 | Lovart, P[AI 头像生成器 | 一键创建专业虚拟形象与数字人 | Lovart] vs S[AI 虚拟形象生成器 | Lovart];,MOVE TO DRAFTS: tools-ai-avatar-generator-zh (保留原 _id 但不发布); 设 redirect 从该 slug URL → primary
zh-TW,ai-avatar-generator,2,Long seoDesc + uuid _id 优先保留,21dd4b6c-e23a-4440-ae85-b234c9ca57ac-zh-TW,AI頭像生成器 |創建會說話的頭像和虛擬角色 |洛瓦特,tools-ai-avatar-generator-zh-TW,AI 虛擬形象生成器|Lovart, P[AI AI Avatar Generator — 即時建立專業設計 | Lova] vs S[AI 虛擬形象生成器 | Lovart];,MOVE TO DRAFTS: tools-ai-avatar-generator-zh-TW (保留原 _id 但不发布); 设 redirect 从该 slug URL → primary
zh-TW,ai-mockup-generator,2,Long seoDesc + uuid _id 优先保留,features-ai-mockup-generator-zh-TW,Ai Mockup Generator | Lovart,tools-ai-mockup-generator-zh-TW,Ai Mockup Generator | Lovart, P[Ai Mockup Generator | Lovart] vs S[ai-mockup-generator | Lovart];,MOVE TO DRAFTS: tools-ai-mockup-generator-zh-TW (保留原 _id 但不发布); 设 redirect 从该 slug URL → primary
zh-TW,ai-picture-generator,2,Long seoDesc + uuid _id 优先保留,features-ai-picture-generator-zh-TW,Lovart AI圖片生成器：專業視覺與文字創作,tools-ai-picture-generator-zh-TW,AI 圖片生成器|Lovart, P[Lovart AI圖片生成器：專業視覺與文字創作] vs S[AI 圖片生成器 | Lovart];,MOVE TO DRAFTS: tools-ai-picture-generator-zh-TW (保留原 _id 但不发布); 设 redirect 从该 slug URL → primary
zh-TW,brochure-design,2,Long seoDesc + uuid _id 优先保留,composite-brochure-design-zh-TW,Professional Brochure Design Made Simple — AI Brochure Maker,features-brochure-design-zh-TW,Brochure Design | Lovart, P[Professional Brochure Design Made Simple] vs S[Brochure Design | Lovart];,MOVE TO DRAFTS: features-brochure-design-zh-TW (保留原 _id 但不发布); 设 redirect 从该 slug URL → primary
