idx,language,slug,url,KEEP_id,KEEP_lang_match,KEEP_desc_len,KEEP_title,MOVE_id,MOVE_lang_match,MOVE_desc_len,MOVE_title,B_task_patched?,GA4_sess_30d,GSC_clicks_28d,GSC_impr_28d,risk,notes
20,zh-TW,ai-mockup-generator,https://www.lovart.ai/zh-TW/features/ai-mockup-generator,features-ai-mockup-generator-zh-TW,False,56,Ai Mockup Generator | Lovart,tools-ai-mockup-generator-zh-TW,False,0,Ai Mockup Generator | Lovart,NO,0,0,0,LOW,"⚠️ KEEP 实际是 EN 残本; 语言未匹配 (zh-TW); ✓ MOVE 是 EN 残本, MOVE 风险低"
21,fr,ai-picture-generator,https://www.lovart.ai/fr/tools/ai-picture-generator,tools-ai-picture-generator-fr,True,185,Générateur d'Images IA | Lovart,features-ai-picture-generator-fr,False,100,affiliate ads 生成器 | Lovart,NO,0,0,0,LOW,"✓ MOVE 是 EN 残本, MOVE 风险低"
22,ja,ai-picture-generator,https://www.lovart.ai/ja/features/ai-picture-generator,features-ai-picture-generator-ja,True,54,affiliate ads 生成器 | Lovart,tools-ai-picture-generator-ja,True,78,AI画像生成|Lovart,YES,0,0,0,LOW,"⚠️ MOVE 实际是该语言版本, 会损失本地化; ⚠️ MOVE _id 在 B 任务 v1 patch 列表, 已 patch"
23,zh-TW,ai-picture-generator,https://www.lovart.ai/zh-TW/features/ai-picture-generator,features-ai-picture-generator-zh-TW,True,71,Lovart AI圖片生成器：專業視覺與文字創作,tools-ai-picture-generator-zh-TW,True,32,AI 圖片生成器|Lovart,NO,0,0,0,LOW,"⚠️ MOVE 实际是该语言版本, 会损失本地化"
24,fr,ai-video-generator,https://www.lovart.ai/fr/tools/ai-video-generator,tools-ai-video-generator-fr,True,214,Générateur vidéo IA | Transformez des images et du texte en ,features-ai-video-generator-fr,True,156,"Créez des vidéos IA avec Sora 2, Veo 3 & Kling | Lovart",NO,0,0,0,LOW,"⚠️ MOVE 实际是该语言版本, 会损失本地化"
25,it,ai-video-generator,https://www.lovart.ai/it/tools/ai-video-generator,tools-ai-video-generator-it,False,205,Generatore video AI | Trasforma immagini e testo in video | ,features-ai-video-generator-it,False,140,"Generatore video IA: crea con Sora 2, Veo 3 & Kling | Lovart",NO,0,0,0,LOW,"⚠️ KEEP 实际是 EN 残本; 语言未匹配 (it); ✓ MOVE 是 EN 残本, MOVE 风险低"
26,ja,ai-video-generator,https://www.lovart.ai/ja/features/ai-video-generator,features-ai-video-generator-ja,True,104,Sora 2、Veo 3、Klingで動画生成｜Lovart,tools-ai-video-generator-ja,True,76,AI Video Generator |画像とテキストをビデオに変換 |ロヴァート,YES,0,0,0,LOW,"⚠️ MOVE 实际是该语言版本, 会损失本地化; ⚠️ MOVE _id 在 B 任务 v1 patch 列表, 已 patch"
27,ko,ai-video-generator,https://www.lovart.ai/ko/tools/ai-video-generator,tools-ai-video-generator-ko,True,97,AI 영상 생성기 | 이미지와 텍스트를 비디오로 전환 | 로바트,features-ai-video-generator-ko,True,88,"소라2, 비오3, 클링으로 만드는 AI 영상 | Lovart",NO,0,0,0,LOW,"⚠️ MOVE 实际是该语言版本, 会损失本地化"
28,pt,ai-video-generator,https://www.lovart.ai/pt/tools/ai-video-generator,tools-ai-video-generator-pt,True,201,Gerador de vídeo AI | Transforme imagens e texto em vídeo | ,features-ai-video-generator-pt,True,177,"Gerador de Vídeos com IA: Sora 2, Veo 3 & Kling | Lovart",NO,0,0,0,LOW,"⚠️ MOVE 实际是该语言版本, 会损失本地化"
29,ru,ai-video-generator,https://www.lovart.ai/ru/tools/ai-video-generator,tools-ai-video-generator-ru,True,234,Видеогенератор AI | Превратите изображения и текст в видео |,features-ai-video-generator-ru,True,134,"Генератор ИИ-видео: Sora 2, Veo 3, Kling | Lovart",NO,0,0,0,LOW,"⚠️ MOVE 实际是该语言版本, 会损失本地化"
30,en,text-to-video-ai,https://www.lovart.ai/text-to-video-ai,features-text-to-video-ai-en,True,155,"AI Text-to-Video Generator: Create with Sora 2, Veo 3 & Klin",tools-text-to-video-ai-en,True,23,text 视频 | Lovart,NO,0,0,0,LOW,"⚠️ MOVE 实际是该语言版本, 会损失本地化"
31,de,image-to-video-ai,https://www.lovart.ai/de/image-to-video-ai,topic-image-to-video-ai-de,False,149,Bild-zu-Video-KI — Statische Bilder mit MCoT Engine animiere,tools-image-to-video-ai-de,False,89,Image To Video Ai | Lovart,NO,0,0,0,LOW,"⚠️ KEEP 实际是 EN 残本; 语言未匹配 (de); ✓ MOVE 是 EN 残本, MOVE 风险低"
32,fr,image-to-video-ai,https://www.lovart.ai/fr/image-to-video-ai,topic-image-to-video-ai-fr,True,177,IA Image vers Vidéo — Animez des Images Fixes avec le Moteur,tools-image-to-video-ai-fr,False,71,Image To Video Ai | Lovart,NO,0,0,0,LOW,"✓ MOVE 是 EN 残本, MOVE 风险低"
33,it,image-to-video-ai,https://www.lovart.ai/it/image-to-video-ai,topic-image-to-video-ai-it,False,165,IA da Immagine a Video — Anima Immagini Statiche con il Moto,tools-image-to-video-ai-it,False,48,Image To Video Ai | Lovart,NO,0,0,0,LOW,"⚠️ KEEP 实际是 EN 残本; 语言未匹配 (it); ✓ MOVE 是 EN 残本, MOVE 风险低"
34,ru,image-to-video-ai,https://www.lovart.ai/ru/image-to-video-ai,topic-image-to-video-ai-ru,True,146,ИИ преобразования изображений в видео — Анимируйте фото с дв,tools-image-to-video-ai-ru,False,0,Image To Video Ai | Lovart,NO,0,0,0,LOW,"✓ MOVE 是 EN 残本, MOVE 风险低"
