rank,slug,url,clicks,impressions,ctr,pos,target_1pct_clicks,gap_to_1pct
33,twitter-image-design-guide,https://www.lovart.ai/blog/twitter-image-design-guide,4,1184,0.3,12.1,12,8
34,aiease-review,https://www.lovart.ai/blog/aiease-review,4,1126,0.4,5.6,11,7
35,adobe-firefly-review,https://www.lovart.ai/blog/adobe-firefly-review,5,1105,0.5,6.3,11,6
36,media-io-review,https://www.lovart.ai/blog/media-io-review,4,1034,0.4,8.4,10,6
37,youtube-thumbnail-design-science-2027,https://www.lovart.ai/blog/youtube-thumbnail-design-science-2027,1,1024,0.1,7.6,10,9
38,law-firm-branding-trust-authority-design-2027,https://www.lovart.ai/blog/law-firm-branding-trust-authority-design-2027,1,1015,0.1,19.1,10,9
39,hailuo-ai-alternatives,https://www.lovart.ai/blog/hailuo-ai-alternatives,2,1014,0.2,4.8,10,8
40,canva-ai-image-generator-review,https://www.lovart.ai/blog/canva-ai-image-generator-review,2,1009,0.2,7.7,10,8
41,pika-ai-review-2025-ai-video-generation-platform-hands-on-test,https://www.lovart.ai/de/blog/pika-ai-review-2025-ai-video-generation-platform-hands-on-test,1,944,0.1,7.1,9,8
42,how-to-choose-ai-video-model,https://www.lovart.ai/blog/how-to-choose-ai-video-model,4,905,0.4,9.2,9,5
43,complete-guide-free-ai-design-tools-2026,https://www.lovart.ai/blog/complete-guide-free-ai-design-tools-2026,5,849,0.6,7.9,8,3
44,complete-guide-ai-texture-material-generation,https://www.lovart.ai/blog/complete-guide-ai-texture-material-generation,7,810,0.9,7.5,8,1
45,animaker-review,https://www.lovart.ai/blog/animaker-review,1,777,0.1,7.9,8,7
46,complete-guide-photo-animation-bring-to-life-ai,https://www.lovart.ai/blog/complete-guide-photo-animation-bring-to-life-ai,2,751,0.3,6.5,8,6
47,craiyon-ai-review,https://www.lovart.ai/fr/blog/craiyon-ai-review,3,739,0.4,7.9,7,4
48,discord-community-design-guide,https://www.lovart.ai/blog/discord-community-design-guide,2,712,0.3,6.7,7,5
49,free-ai-design-tools-2026,https://www.lovart.ai/blog/free-ai-design-tools-2026,2,709,0.3,7.5,7,5
50,haiper-ai-review-2025-features-pricing-and-real-world-performance-test,https://www.lovart.ai/blog/haiper-ai-review-2025-features-pricing-and-real-world-performance-test,3,697,0.4,6.4,7,4
51,complete-guide-ai-face-retouching-portrait-editing,https://www.lovart.ai/blog/complete-guide-ai-face-retouching-portrait-editing,1,686,0.1,7.6,7,6
52,lovart-ai-complete-overview-features-capabilities,https://www.lovart.ai/blog/lovart-ai-complete-overview-features-capabilities,1,657,0.2,6.5,7,6
53,how-to-choose-ai-art-platform,https://www.lovart.ai/blog/how-to-choose-ai-art-platform,3,629,0.5,8.2,6,3
54,pixlr-ai-image-generator-review,https://www.lovart.ai/blog/pixlr-ai-image-generator-review,2,625,0.3,11.0,6,4
55,complete-guide-ai-animal-pet-portrait-generation,https://www.lovart.ai/blog/complete-guide-ai-animal-pet-portrait-generation,2,624,0.3,7.4,6,4
56,hailuo-ai-review-2025-cinematic-video-generation-tested-hands-on,https://www.lovart.ai/blog/hailuo-ai-review-2025-cinematic-video-generation-tested-hands-on,2,622,0.3,8.9,6,4
57,vidfly-ai-review,https://www.lovart.ai/blog/vidfly-ai-review,2,611,0.3,6.6,6,4
58,picsart-ai-review,https://www.lovart.ai/blog/picsart-ai-review,2,608,0.3,7.9,6,4
59,complete-guide-ai-floor-plan-architecture-design,https://www.lovart.ai/blog/complete-guide-ai-floor-plan-architecture-design,5,601,0.8,8.7,6,1
60,ai-art-copyright-2026,https://www.lovart.ai/zh/blog/ai-art-copyright-2026,2,598,0.3,5.7,6,4
61,best-kling-ai-alternatives-in-2025-ai-video-tools-comparison,https://www.lovart.ai/blog/best-kling-ai-alternatives-in-2025-ai-video-tools-comparison,2,571,0.4,7.8,6,4
62,stable-video-diffusion-review-2025-open-source-ai-video-tested,https://www.lovart.ai/blog/stable-video-diffusion-review-2025-open-source-ai-video-tested,3,562,0.5,7.9,6,3
63,complete-guide-ai-art-generation-text-to-art,https://www.lovart.ai/blog/complete-guide-ai-art-generation-text-to-art,2,553,0.4,8.1,6,4
64,how-to-choose-ai-image-model,https://www.lovart.ai/blog/how-to-choose-ai-image-model,1,551,0.2,7.7,6,5
65,invideo-ai-review-2025-features-pricing-and-complete-hands-on-test,https://www.lovart.ai/blog/invideo-ai-review-2025-features-pricing-and-complete-hands-on-test,1,517,0.2,9.5,5,4
